state,yr,qtr,index_nsa,index_sa
CT,1998,3,98.36,97.24
CT,1998,4,99.3,99.28
CT,1999,1,101,101.74
CT,1999,2,104.32,103.42
CT,1999,3,106.78,105.51
CT,1999,4,107.69,107.7
CT,2000,1,109.54,110.4
CT,2000,2,114.31,113.32
CT,2000,3,116.23,114.78
CT,2000,4,117.49,117.45
CT,2001,1,119.39,120.45
CT,2001,2,124.43,123.39
CT,2001,3,128.57,126.85
CT,2001,4,129.58,129.45
CT,2002,1,131.25,132.61
CT,2002,2,138.01,136.83
CT,2002,3,142.76,140.76
CT,2002,4,145.65,145.49
CT,2003,1,147.36,149
CT,2003,2,152.76,151.42
CT,2003,3,157.65,155.32
CT,2003,4,159.22,159.2
CT,2004,1,161.22,163.06
CT,2004,2,169.98,168.3
CT,2004,3,176.55,173.91
CT,2004,4,177.7,177.98
CT,2005,1,180.61,182.54
CT,2005,2,188.57,186.52
CT,2005,3,192.86,190.01
CT,2005,4,193.11,193.67
CT,2006,1,194.03,196.02
CT,2006,2,198.62,196.25
CT,2006,3,196.36,193.52
CT,2006,4,193.38,194.1
CT,2007,1,194.9,196.86
CT,2007,2,197.38,194.97
CT,2007,3,197.53,194.66
CT,2007,4,191.67,192.31
CT,2008,1,186.81,188.92
CT,2008,2,188.16,185.71
CT,2008,3,184.8,182.14
CT,2008,4,178.31,178.76
CT,2009,1,174.11,176.38
CT,2009,2,175.5,173
CT,2009,3,174.75,172.32
CT,2009,4,171.08,171.3
CT,2010,1,166.94,169.55
CT,2010,2,171.3,168.54
